seed,net_worth,trades,final_cash,final_position
40,1096.1394325687966,5,33.34611376425664,12.0
41,815.338667963158,1,97.94859296214395,9.0
42,976.0261109666641,1,91.00722048601358,9.0
43,1092.0051446314892,4,1092.0051446314892,0.0
44,835.7058847336699,1,2.543677908421614,10.0
45,1038.3688150394146,2,1038.3688150394146,0.0
46,1039.7727088597155,2,1039.7727088597155,0.0
47,1047.3656626604047,2,1047.3656626604047,0.0
48,1125.8723834357725,4,1125.8723834357725,0.0
49,1041.5185815008667,2,1041.5185815008667,0.0
50,937.540565963482,3,14.201692432312484,11.0
51,730.230550908159,1,98.12760120293842,9.0
52,1047.6190214130165,2,1047.6190214130165,0.0
53,1088.8584152307872,4,1088.8584152307872,0.0
54,962.8119788706543,1,13.614717983359697,10.0
55,1035.014465459717,3,10.392240643902824,11.0
56,1087.649085106903,4,1087.649085106903,0.0
57,883.8004361373119,3,8.431039006820583,11.0
58,883.2948466247317,3,5.279094116454871,11.0
59,1083.1070062870024,4,1083.1070062870024,0.0
60,1086.7832600867564,4,1086.7832600867564,0.0
61,780.8801449976926,1,99.4028772638585,9.0
62,1037.6524771323666,2,1037.6524771323666,0.0
63,1045.6930937012714,2,1045.6930937012714,0.0
64,728.9201786156409,1,85.5475790146495,9.0
65,756.1604090819455,1,3.3783314724835236,10.0
66,1039.5682734355223,2,1039.5682734355223,0.0
67,864.9949064117034,1,85.2925171331683,9.0
68,1039.914535958661,2,1039.914535958661,0.0
69,903.5173409223892,1,87.21923829363254,9.0
70,905.3585006961639,1,87.80272844190927,9.0
71,1050.4462833618632,2,1050.4462833618632,0.0
72,1058.7262539723922,3,82.76724271762373,10.0
73,924.3271589659093,3,79.7463477988855,10.0
74,1036.9343252299027,2,1036.9343252299027,0.0
75,1044.209369369195,2,1044.209369369195,0.0
76,1046.704186089818,2,1046.704186089818,0.0
77,898.2738200364803,3,92.14595722769263,10.0
78,1039.1292940251242,2,1039.1292940251242,0.0
79,1058.2910627334654,2,1058.2910627334654,0.0
80,1039.7521940532813,2,1039.7521940532813,0.0
81,874.6607144069403,1,8.666998439297913,10.0
82,1092.6568860485568,4,1092.6568860485568,0.0
83,1036.2818698572041,2,1036.2818698572041,0.0
84,617.5633261955165,1,96.69043236686923,9.0
85,843.5860433030408,1,93.90038522784175,9.0
86,1041.2367203890594,2,1041.2367203890594,0.0
87,1065.1467116781873,3,88.39782009744431,10.0
88,1083.6244613114386,4,1083.6244613114386,0.0
89,982.5006442279793,1,12.021986766798477,10.0
90,1086.4870387295325,4,1086.4870387295325,0.0
91,1040.396702314003,2,1040.396702314003,0.0
92,1039.8051693587886,2,1039.8051693587886,0.0
93,1038.127133432752,2,1038.127133432752,0.0
94,895.6383391060232,1,88.77546566568185,9.0
95,1062.065026220449,2,1062.065026220449,0.0
96,1037.2382483885347,2,1037.2382483885347,0.0
97,1007.1930430700821,1,12.599436900484875,10.0
98,950.5557516434853,1,91.21522899995148,9.0
99,1036.033806865441,2,1036.033806865441,0.0
100,1099.7732487673863,4,1099.7732487673863,0.0
101,1041.8182709087523,2,1041.8182709087523,0.0
102,1042.6498326200494,2,1042.6498326200494,0.0
103,888.9243765934543,3,9.336442940247252,11.0
104,901.3788353566516,1,99.2827386772309,9.0
105,1084.043701700426,4,1084.043701700426,0.0
106,956.164246107756,1,75.91816349083695,9.0
107,979.4466553569313,1,91.03184291437981,9.0
108,1044.5481706951891,2,1044.5481706951891,0.0
109,1039.304352716761,2,1039.304352716761,0.0
110,1037.1477905116217,2,1037.1477905116217,0.0
111,911.0077588842418,1,6.395075259805822,10.0
112,928.6915175504859,1,82.1339248227838,9.0
113,1077.08981017028,4,1077.08981017028,0.0
114,1039.9455131028067,2,1039.9455131028067,0.0
115,1039.2734368586448,2,1039.2734368586448,0.0
116,1046.473890930121,2,1046.473890930121,0.0
117,1044.4605590074943,2,1044.4605590074943,0.0
118,1049.1422331131967,3,83.63204607736111,10.0
119,1055.0533573870623,2,1055.0533573870623,0.0
120,1040.2465486165397,2,1040.2465486165397,0.0
121,1002.3139933498736,3,13.01286045151005,11.0
122,832.2699411884773,1,91.11606812706657,9.0
123,1139.4846664052302,5,44.55402599633999,12.0
124,1045.3258218177382,2,1045.3258218177382,0.0
125,1049.686428109527,2,1049.686428109527,0.0
126,832.3919114079685,1,1.6561693346602624,10.0
127,867.509292592061,1,0.7466853007269947,10.0
128,1062.2232129396248,2,1062.2232129396248,0.0
129,429.8422649397972,1,11.369554348273937,10.0
130,1041.7707422187596,2,1041.7707422187596,0.0
131,1041.914714421865,2,1041.914714421865,0.0
132,1046.9459412884971,2,1046.9459412884971,0.0
133,1046.895973457451,2,1046.895973457451,0.0
134,1103.6378812191367,4,1103.6378812191367,0.0
135,1040.478187194016,2,1040.478187194016,0.0
