seed,net_worth,trades,final_cash,final_position
44106,10736.978406275468,6,10736.978406275468,0.0
44107,10702.892783363892,7,29.28654265073601,118.0
44108,10637.359420981535,6,10637.359420981535,0.0
44109,8622.51069912224,1,65.53422635366405,99.0
44110,10690.759409426044,6,10690.759409426044,0.0
44111,10362.242519744856,2,10362.242519744856,0.0
44112,8365.120100927226,3,15.939852863408305,107.0
44113,7659.690842215057,1,40.60827606810744,98.0
44114,9241.493993327604,7,47.51304802719096,121.0
44115,9789.62375999619,3,85.89024105229873,103.0
44116,10422.14551020116,4,10422.14551020116,0.0
44117,8098.928461495329,3,8.587340605125064,105.0
44118,10504.264345227997,4,10504.264345227997,0.0
44119,10419.66601462448,5,90.00092773920915,111.0
44120,9966.100309696702,1,79.05561747810134,99.0
44121,8713.133269596106,1,59.04678318305923,98.0
44122,10159.685447370824,3,54.180001986505886,105.0
44123,9667.894227369821,5,54.993383308794364,112.0
44124,10240.63920721691,2,10240.63920721691,0.0
44125,10252.079195018167,2,10252.079195018167,0.0
44126,9049.060789166575,3,49.00405968011364,105.0
44127,10409.700487381657,4,10409.700487381657,0.0
44128,10705.934046902383,4,10705.934046902383,0.0
44129,10268.275527670357,2,10268.275527670357,0.0
44130,6840.612311257104,1,73.04000609668219,100.0
44131,10486.117784613956,4,10486.117784613956,0.0
44132,8223.632475042788,1,0.39303697921786807,100.0
44133,10512.884670891757,4,10512.884670891757,0.0
44134,10340.60413144715,2,10340.60413144715,0.0
44135,10639.422471074427,4,10639.422471074427,0.0
44136,10794.207776188665,6,10794.207776188665,0.0
44137,10235.062333365817,2,10235.062333365817,0.0
44138,9770.609307044844,3,48.72382740622561,104.0
44139,10582.185397356938,4,10582.185397356938,0.0
44140,6694.844387795752,1,47.42149565524778,99.0
44141,10782.531573222182,6,10782.531573222182,0.0
44142,7432.112869655052,1,80.47469017532421,100.0
44143,7427.488210953753,1,60.399494137400325,99.0
44144,10467.868445994265,4,10467.868445994265,0.0
44145,10621.81209077054,4,10621.81209077054,0.0
44146,10466.363118196601,4,10466.363118196601,0.0
44147,9115.415969692654,1,64.92264796870222,100.0
44148,10620.90869666999,4,10620.90869666999,0.0
44149,10209.314173708353,2,10209.314173708353,0.0
44150,7248.332249196204,1,49.8880630575004,99.0
44151,10969.41489954932,6,10969.41489954932,0.0
44152,11549.206163410703,10,11549.206163410703,0.0
44153,10219.135133274516,2,10219.135133274516,0.0
44154,10865.383468649656,6,10865.383468649656,0.0
44155,9674.684343811889,3,5.803770297286974,104.0
44156,10547.153396607187,4,10547.153396607187,0.0
44157,10597.91556743781,4,10597.91556743781,0.0
44158,9288.656596976927,1,27.659007463080343,101.0
44159,8558.728621439664,5,29.007110963088053,111.0
44160,8122.870901924536,1,38.897170843338245,98.0
44161,10221.740017882972,2,10221.740017882972,0.0
44162,11205.613689703976,10,11205.613689703976,0.0
44163,10447.84906966206,4,10447.84906966206,0.0
44164,10225.51587831873,3,94.5931873436075,106.0
44165,10275.177189583024,2,10275.177189583024,0.0
44166,10254.05715424769,2,10254.05715424769,0.0
44167,9267.217408732562,3,74.92183931625732,105.0
44168,10462.486332047843,4,10462.486332047843,0.0
44169,10917.466904271329,6,10917.466904271329,0.0
44170,9148.361111979862,5,81.62985614064564,113.0
