seed,net_worth,trades,final_cash,final_position
5332,781.7647162688041,1,98.48934191603871,9.0
5333,1054.116925512185,9,39.85191216383873,11.0
5334,1014.3581465619955,2,1014.3581465619955,0.0
5335,1016.1739456968935,2,1016.1739456968935,0.0
5336,956.1597939837392,3,42.9737444096329,10.0
5337,1012.8485219787703,2,1012.8485219787703,0.0
5338,902.3335764407105,3,36.78603717818885,10.0
5339,865.7110720858294,1,89.13067809512495,9.0
5340,971.9370382680492,7,13.714517866348842,11.0
5341,1011.2586720833907,5,23.989609649577346,11.0
5342,906.0638997053699,3,29.858333660782478,10.0
5343,936.056218073115,9,42.087952243152245,11.0
5344,952.5161945465752,11,35.92132332193205,12.0
5345,1025.4620908885918,2,1025.4620908885918,0.0
5346,1010.0681431547197,2,1010.0681431547197,0.0
5347,1009.838269364745,2,1009.838269364745,0.0
5348,1021.5462859215619,2,1021.5462859215619,0.0
5349,1031.8129199230839,4,1031.8129199230839,0.0
5350,1041.1887196747302,6,1041.1887196747302,0.0
5351,1021.3048040694295,4,1021.3048040694295,0.0
5352,960.3872485647672,7,31.769844834120363,11.0
5353,840.2299684587986,1,81.55854223600056,9.0
5354,1013.3714615271182,2,1013.3714615271182,0.0
